ID,Airline,Airplane Model,Origin,Destination,Passengers,Ticket Cost,Minutes,Distance (km),Date,Flight Type,Pilot Name,Revenue(Without Discounts),Departure Time,Arrival Time,Flight Status,Fuel Consumption (liters),CO2 Emissions (kg),Load Factor (%),Delay Minutes,Fuel Type, Service Class, Delay Reason,Fuel Cost (liter),Total Fuel Cost,Pilot Payment (Hour),Total Pilot Payment ,Maintenance Cost,Airport Fees,Insurance Cost,Total Costs,Total Revenue,Unnamed: 32,Unnamed: 33,Results,Unnamed: 35
201,Delta Air Lines,Boeing 737-800,ATL,MCO,162,224.0,90,640,2025-02-15,Domestic,Capt. Jessica Lee,31590,08:00:00,09:30:00,Completed,5800,15080,85,0,Jet A,Economy,-,2.2,12760.000000000002,120,180,190,750,500,14380.000000000002,17210.0,,,Revenues,43351796.0
202,Emirates,Airbus A380-800,DXB,JFK,489,8265.0,780,11020,2025-02-16,International,Capt. Ahmed Al-Farsi,660150,22:00:00,11:00+1,Completed,52000,135200,95,0,Jet A-1,First Class,-,2.2,114400.00000000001,120,1560,900,1600,500,118960.00000000001,541190.0,,,Losses,-105804.00000000001
203,Southwest Airlines,Boeing 737-700,DAL,HOU,143,136.5,45,390,2025-02-17,Domestic,Capt. Mike Johnson,15730,09:15:00,10:00:00,Completed,3200,8320,88,0,Jet A,Economy,-,2.2,7040.000000000001,120,90,190,750,500,8570.0,7160.0,,,Final Revenues,43245992.0
204,Lufthansa,Boeing 747-8,FRA,LAX,365,2885.0,660,5770,2025-02-18,International,Capt. Klaus Schmidt,419750,15:30:00,05:30+1,Completed,42000,109200,89,0,Jet A-1,Business,-,2.2,92400.00000000001,120,1320,520,1600,500,96340.00000000001,323410.0,,,Sum of Distance (m),844380.0
205,Volaris,Airbus A320neo,MEX,CUN,180,280.0,90,800,2025-02-19,Domestic,Capt. Carlos Ruiz,33300,12:30:00,14:00:00,Completed,7800,20280,94,0,Jet A,Economy,-,2.2,17160.0,120,180,190,750,500,18780.0,14520.0,,,Count of Passengers,70207.0
206,Qantas,Boeing 787-9,SYD,AKL,242,752.5,180,2150,2025-02-20,International,Capt. Olivia Brown,229900,08:45:00,11:45:00,Completed,18000,46800,85,0,Jet A-1,Premium Economy,-,2.2,39600.0,120,360,250,1600,500,42310.0,187590.0,,,,
207,American Airlines,Boeing 777-300ER,DFW,LHR,312,2505.0,540,5010,2025-02-21,International,Capt. David Wilson,374400,18:45:00,09:45+1,Completed,37000,96200,91,0,Jet A-1,Business,-,2.2,81400.0,120,1080,520,1600,500,85100.0,289300.0,,,,
208,AirAsia,Airbus A320-200,KUL,SIN,186,115.49999999999999,45,330,2025-02-22,International,Capt. Wei Chen,13950,16:00:00,16:45:00,Completed,4500,11700,93,0,Jet A,Economy,-,2.2,9900.0,120,90,190,1600,500,12280.0,1670.0,,,,
209,United Airlines,Boeing 787-9,ORD,HNL,248,1323.0,540,3780,2025-02-23,Domestic,Capt. Emily Chen,210800,07:00:00,16:00:00,Completed,30000,78000,90,0,Jet A-1,Premium Economy,-,2.2,66000.0,120,1080,250,750,500,68580.0,142220.0,,,,
210,Singapore Airlines,Airbus A350-900,SIN,SYD,301,2940.0,480,3920,2025-02-24,International,Capt. Raj Patel,376250,20:15:00,06:15+1,Completed,31000,80600,92,0,Jet A-1,First Class,-,2.2,68200.0,120,960,900,1600,500,72160.0,304090.0,,,,
211,Alaska Airlines,Boeing 737-800,SEA,PDX,148,84.0,45,240,2025-02-25,Domestic,Capt. Laura Adams,18500,10:30:00,11:15:00,Completed,3000,7800,84,0,Jet A,Economy,-,2.2,6600.000000000001,120,90,190,750,500,8130.000000000001,10370.0,,,,
212,Japan Airlines,Boeing 787-8,HND,HKG,242,1050.0,300,2100,2025-02-26,International,Capt. Hiroshi Tanaka,237160,12:15:00,17:15:00,Completed,22000,57200,88,0,Jet A-1,Business,-,2.2,48400.00000000001,120,600,520,1600,500,51620.00000000001,185540.0,,,,
213,Spirit Airlines,Airbus A321-200,FLL,ATL,235,336.0,90,960,2025-02-27,Domestic,Capt. Brian Miller,22325,11:20:00,12:50:00,Completed,11000,28600,89,0,Jet A,Economy,-,2.2,24200.000000000004,120,180,190,750,500,25820.000000000004,-3495.0000000000036,,,,
214,Turkish Airlines,Boeing 777-300ER,IST,ORD,342,2550.0,600,5100,2025-02-28,International,Capt. Mehmet YÄ±lmaz,376200,13:30:00,23:30:00,Completed,37000,96200,91,0,Jet A-1,Business,-,2.2,81400.0,120,1200,520,1600,500,85220.0,290980.0,,,,
215,Air France,Airbus A350-900,CDG,JFK,301,1270.5,420,3630,2025-03-01,International,Capt. Sophie Laurent,316050,15:45:00,21:45:00,Delayed,32000,83200,90,25,Jet A-1,Premium Economy,Weather,2.2,70400.0,120,840,250,1600,500,73590.0,242460.0,,,,
216,JetBlue,Airbus A220-300,JFK,BOS,120,105.0,40,300,2025-03-02,Domestic,Capt. Daniel White,13800,07:45:00,08:25:00,Completed,2800,7280,83,0,Jet A,Economy,-,2.2,6160.000000000001,120,80,190,750,500,7680.000000000001,6119.999999999999,,,,
217,Cathay Pacific,Airbus A350-1000,HKG,LAX,369,5182.5,840,6910,2025-03-03,International,Capt. Emily Wong,498150,10:15:00,01:15+1,Completed,39000,101400,92,0,Jet A-1,First Class,-,2.2,85800.0,120,1680,900,1600,500,90480.0,407670.0,,,,
218,Frontier Airlines,Airbus A319-100,DEN,PHX,156,210.0,90,600,2025-03-04,Domestic,Capt. Kevin Taylor,14820,14:30:00,16:00:00,Completed,6500,16900,87,0,Jet A,Economy,-,2.2,14300.000000000002,120,180,190,750,500,15920.000000000002,-1100.0000000000018,,,,
219,Qatar Airways,Boeing 777-300ER,DOH,JFK,312,4140.0,660,5520,2025-03-05,International,Capt. Ali Al-Mansoori,468000,02:30:00,14:30:00,Completed,43000,111800,93,0,Jet A-1,First Class,-,2.2,94600.00000000001,120,1320,900,1600,500,98920.00000000001,369080.0,,,,
220,Avianca,Airbus A320-200,BOG,MIA,174,518.0,180,1480,2025-03-06,International,Capt. Juan RodrÃ­guez,55680,09:15:00,12:15:00,Completed,14500,37700,90,0,Jet A,Premium Economy,-,2.2,31900.000000000004,120,360,250,1600,500,34610.0,21070.0,,,,
221,Air Canada,Airbus A330-300,YUL,YYZ,124,105.0,60,300,2025-03-07,Domestic,Capt. Sarah Johnson,21700,11:30:00,12:30:00,Completed,4500,11700,81,0,Jet A,Economy,-,2.2,9900.0,120,120,190,750,500,11460.0,10240.0,,,,
222,Ryanair,Boeing 737-800,STN,DUB,189,164.5,90,470,2025-03-08,International,Capt. Sean Murphy,11340,19:15:00,20:45:00,Completed,7500,19500,93,0,Jet A,Economy,-,2.2,16500.0,120,180,190,1600,500,18970.0,-7630.0,,,,
223,ANA,Boeing 787-9,HND,LAX,248,2735.0,780,5470,2025-03-09,International,Capt. Kenji Sato,285200,14:00:00,06:00+1,Completed,29000,75400,89,0,Jet A-1,Business,-,2.2,63800.00000000001,120,1560,520,1600,500,67980.0,217220.0,,,,
224,Hawaiian Airlines,Airbus A330-200,HNL,LAX,278,892.5,300,2550,2025-03-10,Domestic,Capt. Leilani Koa,108420,08:30:00,13:30:00,Completed,19500,50700,85,0,Jet A,Premium Economy,-,2.2,42900.0,120,600,250,750,500,45000.0,63420.0,,,,
225,KLM,Boeing 787-10,AMS,SFO,293,2685.0,660,5370,2025-03-11,International,Capt. Pieter Van Dijk,366250,12:15:00,02:15+1,Completed,34000,88400,91,0,Jet A-1,Business,-,2.2,74800.0,120,1320,520,1600,500,78740.0,287510.0,,,,
226,Azul Brazilian Airlines,Embraer E195,GRU,CNF,124,140.0,70,400,2025-03-12,Domestic,Capt. Thiago Silva,21080,15:30:00,16:40:00,Completed,4500,11700,82,0,Jet A,Economy,-,2.2,9900.0,120,140,190,750,500,11480.0,9600.0,,,,
227,Etihad Airways,Airbus A380-800,AUH,CDG,489,2550.0,420,3400,2025-03-13,International,Capt. Omar Khan,709050,04:00:00,12:00:00,Cancelled,48000,124800,95,-,Jet A-1,First Class,Technical Issues,2.2,105600.00000000001,120,840,900,1600,500,109440.00000000001,599610.0,,,,
228,Allegiant Air,Airbus A320-200,SFB,PIE,186,59.49999999999999,45,170,2025-03-14,Domestic,Capt. Lisa Brown,14880,16:15:00,17:00:00,Completed,3500,9100,94,0,Jet A,Economy,-,2.2,7700.000000000001,120,90,190,750,500,9230.0,5650.0,,,,
229,Virgin Atlantic,Airbus A350-1000,LHR,LAX,301,4080.0,660,5440,2025-03-15,International,Capt. Emma Wilson,421400,19:15:00,08:15+1,Completed,35000,91000,90,0,Jet A-1,First Class,-,2.2,77000.0,120,1320,900,1600,500,81320.0,340080.0,,,,
230,IndiGo,Airbus A320neo,DEL,BOM,180,402.5,90,1150,2025-03-16,Domestic,Capt. Arjun Patel,13500,07:20:00,08:50:00,Completed,6500,16900,93,0,Jet A,Economy,-,2.2,14300.000000000002,120,180,190,750,500,15920.000000000002,-2420.000000000002,,,,
231,Delta Air Lines,Boeing 737-900,ATL,FLL,156,224.0,90,640,2025-03-17,Domestic,Capt. Robert Harris,28860,07:30:00,09:00:00,Completed,5800,15080,85,0,Jet A,Economy,-,2.2,12760.000000000002,120,180,190,750,500,14380.000000000002,14479.999999999998,,,,
232,Emirates,Airbus A380-800,DXB,LHR,501,2565.0,420,3420,2025-03-18,International,Capt. Fatima Al-Mansoori,701400,14:30:00,21:30:00,Completed,51000,132600,96,0,Jet A-1,First Class,-,2.2,112200.00000000001,120,840,900,1600,500,116040.00000000001,585360.0,,,,
233,Southwest Airlines,Boeing 737 MAX 8,DAL,AUS,143,66.5,30,190,2025-03-19,Domestic,Capt. James Wilson,16445,11:45:00,12:15:00,Completed,2500,6500,91,0,Jet A,Economy,-,2.2,5500.0,120,60,190,750,500,7000.0,9445.0,,,,
234,Lufthansa,Boeing 747-8,FRA,ORD,365,3380.0,540,6760,2025-03-20,International,Capt. Hans Weber,357700,14:00:00,23:00:00,Completed,38000,98800,87,0,Jet A-1,Business,-,2.2,83600.0,120,1080,520,1600,500,87300.0,270400.0,,,,
235,Volaris,Airbus A320neo,MEX,SJD,180,325.5,90,930,2025-03-21,Domestic,Capt. Carlos MÃ©ndez,35100,13:00:00,14:30:00,Completed,7000,18200,94,0,Jet A,Economy,-,2.2,15400.000000000002,120,180,190,750,500,17020.0,18080.0,,,,
236,Qantas,Boeing 787-9,SYD,HNL,242,1470.0,540,4200,2025-03-22,International,Capt. Olivia Brown,229900,09:15:00,18:15:00,Completed,30000,78000,85,0,Jet A-1,Premium Economy,-,2.2,66000.0,120,1080,250,1600,500,69430.0,160470.0,,,,
237,American Airlines,Boeing 777-300,DFW,CDG,298,2505.0,540,5010,2025-03-23,International,Capt. Robert Taylor,327800,19:00:00,10:00+1,Completed,38000,98800,87,0,Jet A-1,Business,-,2.2,83600.0,120,1080,520,1600,500,87300.0,240500.0,,,,
238,AirAsia,Airbus A320-200,KUL,CNX,186,164.5,60,470,2025-03-24,International,Capt. Wei Chen,13020,16:30:00,17:30:00,Completed,4500,11700,93,0,Jet A,Economy,-,2.2,9900.0,120,120,190,1600,500,12310.0,710.0,,,,
239,United Airlines,Boeing 787-9,ORD,AMS,248,1375.5,480,3930,2025-03-25,International,Capt. Emily Chen,235600,12:15:00,00:15+1,Completed,29000,75400,89,0,Jet A-1,Premium Economy,-,2.2,63800.00000000001,120,960,250,1600,500,67110.0,168490.0,,,,
240,Singapore Airlines,Airbus A350-900,SIN,PEK,301,1415.0,360,2830,2025-03-26,International,Capt. Rajesh Kumar,331100,08:15:00,14:15:00,Completed,28000,72800,92,0,Jet A-1,Business,-,2.2,61600.00000000001,120,720,520,1600,500,64940.00000000001,266160.0,,,,
241,Alaska Airlines,Boeing 737-900,SEA,SFO,178,336.0,120,960,2025-03-27,Domestic,Capt. Laura Adams,31150,06:15:00,08:15:00,Completed,6500,16900,81,0,Jet A,Economy,-,2.2,14300.000000000002,120,240,190,750,500,15980.000000000002,15169.999999999998,,,,
242,Japan Airlines,Boeing 787-8,HND,ICN,242,304.5,150,870,2025-03-28,International,Capt. Hiroshi Tanaka,205700,10:30:00,13:00:00,Completed,16000,41600,88,0,Jet A-1,Premium Economy,-,2.2,35200.0,120,300,250,1600,500,37850.0,167850.0,,,,
243,Spirit Airlines,Airbus A321-200,ATL,TPA,235,157.5,70,450,2025-03-29,Domestic,Capt. Brian Miller,21150,14:00:00,15:10:00,Completed,5000,13000,89,0,Jet A,Economy,-,2.2,11000.0,120,140,190,750,500,12580.0,8570.0,,,,
244,Turkish Airlines,Boeing 777-300ER,IST,JFK,342,2505.0,540,5010,2025-03-30,International,Capt. Mehmet YÄ±ldÄ±z,324900,16:15:00,01:15+1,Completed,36000,93600,88,0,Jet A-1,Business,-,2.2,79200.0,120,1080,520,1600,500,82900.0,242000.0,,,,
245,Air France,Airbus A350-900,CDG,ATL,267,1347.5,480,3850,2025-03-31,International,Capt. Sophie Laurent,200250,11:45:00,19:45:00,Completed,28000,72800,84,0,Jet A-1,Premium Economy,-,2.2,61600.00000000001,120,960,250,1600,500,64910.00000000001,135340.0,,,,
246,JetBlue,Airbus A220-300,JFK,BOS,120,105.0,40,300,2025-04-01,Domestic,Capt. Daniel White,14400,07:50:00,08:30:00,Completed,2800,7280,83,0,Jet A,Economy,-,2.2,6160.000000000001,120,80,190,750,500,7680.000000000001,6719.999999999999,,,,
247,Cathay Pacific,Airbus A350-1000,HKG,LAX,369,5182.5,840,6910,2025-04-02,International,Capt. Emily Wong,479700,10:45:00,01:45+1,Completed,39000,101400,92,0,Jet A-1,First Class,-,2.2,85800.0,120,1680,900,1600,500,90480.0,389220.0,,,,
248,Frontier Airlines,Airbus A319-100,DEN,PHX,156,210.0,90,600,2025-04-03,Domestic,Capt. Kevin Taylor,14820,14:45:00,16:15:00,Completed,6500,16900,87,0,Jet A,Economy,-,2.2,14300.000000000002,120,180,190,750,500,15920.000000000002,-1100.0000000000018,,,,
249,Qatar Airways,Boeing 777-300ER,DOH,IAH,312,5400.0,840,7200,2025-04-04,International,Capt. Ali Al-Mansoori,436800,03:15:00,16:15:00,Completed,42000,109200,91,0,Jet A-1,First Class,-,2.2,92400.00000000001,120,1680,900,1600,500,97080.00000000001,339720.0,,,,
250,Avianca,Airbus A320-200,BOG,MIA,174,518.0,180,1480,2025-04-05,International,Capt. Juan RodrÃ­guez,55680,09:30:00,12:30:00,Completed,14500,37700,90,0,Jet A,Premium Economy,-,2.2,31900.000000000004,120,360,250,1600,500,34610.0,21070.0,,,,
251,Air Canada,Airbus A330-300,YVR,YYZ,267,728.0,240,2080,2025-04-06,Domestic,Capt. Sarah Johnson,112140,17:15:00,21:15:00,Completed,22000,57200,86,0,Jet A,Economy,-,2.2,48400.00000000001,120,480,190,750,500,50320.00000000001,61819.99999999999,,,,
252,Ryanair,Boeing 737-800,DUB,STN,189,164.5,90,470,2025-04-07,International,Capt. Sean Murphy,11340,06:30:00,08:00:00,Completed,7500,19500,93,0,Jet A,Economy,-,2.2,16500.0,120,180,190,1600,500,18970.0,-7630.0,,,,
253,ANA,Boeing 787-9,NRT,SFO,248,2565.0,780,5130,2025-04-08,International,Capt. Kenji Sato,260400,13:30:00,03:30+1,Completed,27000,70200,89,0,Jet A-1,Business,-,2.2,59400.00000000001,120,1560,520,1600,500,63580.00000000001,196820.0,,,,
254,Hawaiian Airlines,Airbus A330-200,HNL,LAX,278,892.5,300,2550,2025-04-09,Domestic,Capt. Leilani Koa,105640,08:45:00,13:45:00,Completed,19500,50700,85,0,Jet A,Premium Economy,-,2.2,42900.0,120,600,250,750,500,45000.0,60640.0,,,,
255,KLM,Boeing 777-300,AMS,IAH,312,2475.0,600,4950,2025-04-10,International,Capt. Pieter Van Dijk,265200,11:30:00,21:30:00,Completed,35000,91000,91,0,Jet A-1,Business,-,2.2,77000.0,120,1200,520,1600,500,80820.0,184380.0,,,,
256,Azul Brazilian Airlines,Embraer E195,GRU,CNF,124,140.0,70,400,2025-04-11,Domestic,Capt. Thiago Silva,21080,10:45:00,11:55:00,Completed,4500,11700,82,0,Jet A,Economy,-,2.2,9900.0,120,140,190,750,500,11480.0,9600.0,,,,
257,Etihad Airways,Airbus A380-800,AUH,LHR,489,2550.0,480,3400,2025-04-12,International,Capt. Omar Khan,684600,03:30:00,11:30:00,Completed,48000,124800,95,0,Jet A-1,First Class,-,2.2,105600.00000000001,120,960,900,1600,500,109560.00000000001,575040.0,,,,
258,Allegiant Air,Airbus A320-200,SFB,PIE,186,59.49999999999999,45,170,2025-04-13,Domestic,Capt. Lisa Brown,14880,16:00:00,16:45:00,Completed,3500,9100,94,0,Jet A,Economy,-,2.2,7700.000000000001,120,90,190,750,500,9230.0,5650.0,,,,
259,Virgin Atlantic,Airbus A350-1000,LHR,JFK,301,2587.5,420,3450,2025-04-14,International,Capt. Emma Wilson,331100,18:30:00,01:30+1,Completed,29000,75400,90,0,Jet A-1,First Class,-,2.2,63800.00000000001,120,840,900,1600,500,67640.0,263460.0,,,,
260,IndiGo,Airbus A320neo,DEL,BOM,180,402.5,90,1150,2025-04-15,Domestic,Capt. Arjun Patel,13500,07:45:00,09:15:00,Completed,6500,16900,93,0,Jet A,Economy,-,2.2,14300.000000000002,120,180,190,750,500,15920.000000000002,-2420.000000000002,,,,
261,Delta Air Lines,Boeing 737-900,ATL,MCO,178,224.0,90,640,2025-04-16,Domestic,Capt. Robert Harris,34710,08:10:00,09:40:00,Completed,5800,15080,88,0,Jet A,Economy,-,2.2,12760.000000000002,120,180,190,750,500,14380.000000000002,20330.0,,,,
262,Emirates,Airbus A380-800,DXB,JFK,489,8265.0,780,11020,2025-04-17,International,Capt. Aisha Al-Mansoori,660150,22:45:00,11:45+1,Completed,52000,135200,95,0,Jet A-1,First Class,-,2.2,114400.00000000001,120,1560,900,1600,500,118960.00000000001,541190.0,,,,
263,Southwest Airlines,Boeing 737 MAX 8,DAL,HOU,143,136.5,45,390,2025-04-18,Domestic,Capt. James Wilson,16445,08:55:00,09:40:00,Completed,3200,8320,88,0,Jet A,Economy,-,2.2,7040.000000000001,120,90,190,750,500,8570.0,7875.0,,,,
264,Lufthansa,Boeing 747-8,FRA,ORD,365,3380.0,540,6760,2025-04-19,International,Capt. Klaus Fischer,346750,14:15:00,23:15:00,Completed,38000,98800,87,0,Jet A-1,Business,-,2.2,83600.0,120,1080,520,1600,500,87300.0,259450.0,,,,
265,Volaris,Airbus A320neo,MEX,CUN,180,280.0,90,800,2025-04-20,Domestic,Capt. Carlos MÃ©ndez,33300,12:55:00,14:25:00,Completed,7800,20280,94,0,Jet A,Economy,-,2.2,17160.0,120,180,190,750,500,18780.0,14520.0,,,,
266,Qantas,Boeing 787-9,SYD,LAX,285,2618.0,840,7480,2025-04-21,International,Capt. Olivia Smith,313500,09:30:00,22:30:00,Completed,31000,80600,91,0,Jet A-1,Premium Economy,-,2.2,68200.0,120,1680,250,1600,500,72230.0,241270.0,,,,
267,American Airlines,Boeing 777-300ER,DFW,HNL,312,1890.0,540,3780,2025-04-22,Domestic,Capt. David Lee,218400,10:45:00,19:45:00,Completed,34000,88400,89,0,Jet A-1,Business,-,2.2,74800.0,120,1080,520,750,500,77650.0,140750.0,,,,
268,AirAsia,Airbus A320-200,KUL,SIN,186,115.49999999999999,45,330,2025-04-23,International,Capt. Wei Chen,13950,16:40:00,17:25:00,Completed,4500,11700,93,0,Jet A,Economy,-,2.2,9900.0,120,90,190,1600,500,12280.0,1670.0,,,,
269,United Airlines,Boeing 767-400,ORD,MIA,214,665.0,180,1900,2025-04-24,Domestic,Capt. Emily Johnson,63130,13:50:00,16:50:00,Completed,16500,42900,82,0,Jet A,Economy,-,2.2,36300.0,120,360,190,750,500,38100.0,25030.0,,,,
270,Singapore Airlines,Airbus A350-900,SIN,LHR,301,5070.0,780,6760,2025-04-25,International,Capt. Raj Patel,391300,23:55:00,06:55+1,Completed,29000,75400,90,0,Jet A-1,First Class,-,2.2,63800.00000000001,120,1560,900,1600,500,68360.0,322940.0,,,,
271,Alaska Airlines,Boeing 737-900,SEA,ANC,178,503.99999999999994,180,1440,2025-04-26,Domestic,Capt. Laura Adams,36490,06:15:00,09:15:00,Completed,9500,24700,81,0,Jet A,Economy,-,2.2,20900.0,120,360,190,750,500,22700.0,13790.0,,,,
272,Japan Airlines,Boeing 787-8,HND,SYD,242,1704.5,840,4870,2025-04-27,International,Capt. Hiroshi Tanaka,254100,18:45:00,08:45+1,Completed,26000,67600,85,0,Jet A-1,Premium Economy,-,2.2,57200.00000000001,120,1680,250,1600,500,61230.00000000001,192870.0,,,,
273,Spirit Airlines,Airbus A321-200,FTL,ATL,235,336.0,90,960,2025-04-28,Domestic,Capt. Brian Miller,20680,11:35:00,13:05:00,Completed,11000,28600,89,0,Jet A,Economy,-,2.2,24200.000000000004,120,180,190,750,500,25820.000000000004,-5140.000000000004,,,,
274,Turkish Airlines,Boeing 777-300,IST,JFK,342,2505.0,540,5010,2025-04-29,International,Capt. Mehmet YÄ±lmaz,300960,15:55:00,00:55+1,Completed,36000,93600,88,0,Jet A-1,Business,-,2.2,79200.0,120,1080,520,1600,500,82900.0,218060.0,,,,
275,Air France,Airbus A330-200,CDG,DTW,267,1347.5,480,3850,2025-04-30,International,Capt. Sophie Laurent,181560,12:30:00,19:30:00,Completed,28000,72800,84,0,Jet A-1,Premium Economy,-,2.2,61600.00000000001,120,960,250,1600,500,64910.00000000001,116650.0,,,,
276,JetBlue,Airbus A220-300,JFK,BOS,120,105.0,40,300,2025-05-01,Domestic,Capt. Daniel White,15000,07:45:00,08:25:00,Completed,2800,7280,83,0,Jet A,Economy,-,2.2,6160.000000000001,120,80,190,750,500,7680.000000000001,7319.999999999999,,,,
277,Cathay Pacific,Airbus A350-1000,HKG,LAX,369,5182.5,840,6910,2025-05-02,International,Capt. Emily Wong,442800,10:55:00,01:55+1,Completed,39000,101400,92,0,Jet A-1,First Class,-,2.2,85800.0,120,1680,900,1600,500,90480.0,352320.0,,,,
278,Frontier Airlines,Airbus A319-100,DEN,PHX,156,210.0,90,600,2025-05-03,Domestic,Capt. Kevin Taylor,14352,14:55:00,16:25:00,Completed,6500,16900,87,0,Jet A,Economy,-,2.2,14300.000000000002,120,180,190,750,500,15920.000000000002,-1568.0000000000018,,,,
279,Qatar Airways,Boeing 777-200LR,DOH,IAH,312,5400.0,840,7200,2025-05-04,International,Capt. Ali Al-Hashimi,421200,02:45:00,15:45:00,Completed,42000,109200,91,0,Jet A-1,First Class,-,2.2,92400.00000000001,120,1680,900,1600,500,97080.00000000001,324120.0,,,,
280,Avianca,Airbus A320-200,BOG,MIA,174,518.0,180,1480,2025-05-05,International,Capt. Juan RodrÃ­guez,53940,09:20:00,12:20:00,Completed,14500,37700,90,0,Jet A,Premium Economy,-,2.2,31900.000000000004,120,360,250,1600,500,34610.0,19330.0,,,,
281,Air Canada,Airbus A330-300,YUL,YYZ,124,105.0,60,300,2025-05-06,Domestic,Capt. Sarah Johnson,21700,11:55:00,12:55:00,Completed,4500,11700,81,0,Jet A,Economy,-,2.2,9900.0,120,120,190,750,500,11460.0,10240.0,,,,
282,Ryanair,Boeing 737-800,STN,DUB,189,164.5,90,470,2025-05-07,International,Capt. Sean Murphy,11340,19:50:00,21:20:00,Completed,7500,19500,93,0,Jet A,Economy,-,2.2,16500.0,120,180,190,1600,500,18970.0,-7630.0,,,,
283,ANA,Boeing 787-9,HND,LAX,248,2735.0,780,5470,2025-05-08,International,Capt. Kenji Sato,272800,14:15:00,06:15+1,Completed,29000,75400,89,0,Jet A-1,Business,-,2.2,63800.00000000001,120,1560,520,1600,500,67980.0,204820.0,,,,
284,Hawaiian Airlines,Airbus A330-200,HNL,LAX,278,892.5,300,2550,2025-05-09,Domestic,Capt. Leilani Koa,107030,08:50:00,13:50:00,Completed,19500,50700,85,0,Jet A,Premium Economy,-,2.2,42900.0,120,600,250,750,500,45000.0,62030.0,,,,
285,KLM,Boeing 787-10,AMS,SFO,293,2685.0,660,5370,2025-05-10,International,Capt. Pieter Van Dijk,351600,12:50:00,02:50+1,Completed,34000,88400,91,0,Jet A-1,Business,-,2.2,74800.0,120,1320,520,1600,500,78740.0,272860.0,,,,
286,Azul Brazilian Airlines,Embraer E195,CNF,GRU,124,140.0,70,400,2025-05-11,Domestic,Capt. Thiago Silva,21080,15:50:00,17:00:00,Completed,4500,11700,82,0,Jet A,Economy,-,2.2,9900.0,120,140,190,750,500,11480.0,9600.0,,,,
287,Etihad Airways,Airbus A380-800,AUH,CDG,489,2550.0,420,3400,2025-05-12,International,Capt. Omar Khan,709050,04:15:00,12:15:00,Cancelled,48000,124800,95,-,Jet A-1,First Class,Technical Issues,2.2,105600.00000000001,120,840,900,1600,500,109440.00000000001,599610.0,,,,
288,Allegiant Air,Airbus A320-200,SFB,PIE,186,59.49999999999999,45,170,2025-05-13,Domestic,Capt. Lisa Brown,14880,16:45:00,17:30:00,Completed,3500,9100,94,0,Jet A,Economy,-,2.2,7700.000000000001,120,90,190,750,500,9230.0,5650.0,,,,
289,Virgin Atlantic,Airbus A350-1000,LHR,LAX,301,4080.0,660,5440,2025-05-14,International,Capt. Emma Wilson,406350,19:20:00,08:20+1,Completed,35000,91000,90,0,Jet A-1,First Class,-,2.2,77000.0,120,1320,900,1600,500,81320.0,325030.0,,,,
290,IndiGo,Airbus A320neo,DEL,BOM,180,402.5,90,1150,2025-05-15,Domestic,Capt. Arjun Patel,14040,07:40:00,09:10:00,Delayed,6500,16900,93,18,Jet A,Economy,Air Traffic Control,2.2,14300.000000000002,120,180,190,750,500,15920.000000000002,-1880.0000000000018,,,,
291,Delta Air Lines,Boeing 737-900,ATL,MCO,178,224.0,90,640,2025-05-16,Domestic,Capt. Robert Harris,35600,08:20:00,09:50:00,Completed,5800,15080,88,0,Jet A,Economy,-,2.2,12760.000000000002,120,180,190,750,500,14380.000000000002,21220.0,,,,
